"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G01010",427.506763360054,-0.516388167585111,0.382119198224389,-1.35137980500492,0.176573799543064,1
"AT1G01020",140.663495719414,-0.289815106036975,0.24790022603715,-1.16907963606916,0.242371547652594,1
"AT1G03987",2.36827216477201,-0.0235393570170588,1.26010222118573,-0.0186805138672867,0.985095973224637,1
"AT1G01030",127.255133177873,0.458152233198261,0.548388123771592,0.835452507700704,0.403462976390887,1
"AT1G01040",886.909481438213,-0.376113290591841,0.280663545770904,-1.34008600781681,0.180217384529372,1
"AT1G03993",0,NA,NA,NA,NA,NA
"AT1G01046",8.41195474617103,-0.603195292034219,0.562077777737396,-1.07315271289027,0.283202603245238,1
"AT1G01050",566.280342000043,-1.50583897528805,0.284699504999371,-5.28922231632043,1.22837514496735e-07,2.33596006734624e-05
"AT1G03997",0,NA,NA,NA,NA,NA
"AT1G01060",131.822039880947,4.0657592229785,0.512031940543035,7.94044062693933,2.01464272748604e-15,2.29870735206157e-12
"AT1G01070",20.6897977824097,-2.2215924739458,0.564656177151264,-3.93441631180572,8.33991206294797e-05,0.00432538166537438
"AT1G04003",0,NA,NA,NA,NA,NA
"AT1G01080",498.815136056299,-0.221634971375034,0.320698146631067,-0.691101503714033,0.489501755383101,1
"AT1G01090",1625.95128745777,-0.298541121258484,0.26389692936646,-1.1312792535146,0.257937573580882,1
"AT1G01100",1870.46540927731,-1.62092823446622,0.276447128485187,-5.86342944977662,4.53403542559728e-09,1.29333360515162e-06
"AT1G01110",20.0584847547345,-0.362491712611157,0.477302808959385,-0.759458578091047,0.447578283589635,1
"AT1G01120",1509.76760527126,1.77111113561648,0.34662120009989,5.10964457772945,3.22765420983898e-07,4.33265112167797e-05
"AT1G01130",8.78571378427583,0.766112135399022,0.603755643359696,1.26891093081278,0.204472833282902,1
"AT1G01140",1806.91155184805,0.283632757102271,0.281425262510665,1.00784398163801,0.313529367856691,1
"AT1G01150",0.270059118193338,-1.15196756017291,3.02762391505324,-0.380485685307667,0.70358492046122,1
"AT1G01160",309.40982202251,-1.66043690474133,0.252435703084402,-6.5776626857975,4.7790085256764e-11,1.81761624259892e-08
"AT1G04007",4.00887485507547,-0.730145634278127,0.635794298617343,-1.14839915341482,0.25080382302812,1
"AT1G01170",197.143884540589,-1.00987572726246,0.359193080117162,-2.81151220099524,0.00493092205772424,0.149185764352932
"AT1G04013",1.33474116008453,-2.23206093540575,1.46871607921587,-1.51973616071352,0.128577299471538,1
"AT1G01180",173.73156524096,-1.17990114437579,0.309136217867395,-3.81676774243876,0.000135211338218834,0.00670765812642129
"AT1G08765",0.0552031378514484,0.290720183921971,3.72499673437046,0.0780457553799986,0.937791656434742,NA
"AT1G01183",0.0567634223861871,-0.671069837204284,3.72499673437046,-0.180153134367163,0.85703234973502,NA
"AT1G01190",24.0730550871909,-0.421144023107114,0.560431679842248,-0.751463627512383,0.452373682653495,1
"AT1G01200",9.86753245082362,-0.159290591074713,0.547472393727996,-0.290956389581635,0.77108467326883,1
"AT1G01210",118.145886139498,-1.55861424569982,0.30025781209521,-5.19091987923231,2.09257663121772e-07,3.31536057461656e-05
"AT1G04017",0,NA,NA,NA,NA,NA
"AT1G01220",257.40831148157,-0.912401563250552,0.269298068135506,-3.38807318436257,0.00070385481093012,0.0303055977083497
"AT1G04023",0,NA,NA,NA,NA,NA
"AT1G01225",9.73915934291535,-0.0435193196274376,0.495484265432467,-0.0878318902608405,0.930010290941134,1
"AT1G01230",378.744503554358,0.471315236996428,0.25036580021261,1.8825064629282,0.0597672832037599,0.984489023575829
"AT1G01240",21.6697391109949,0.166334968096641,0.54960178861779,0.302646336932349,0.762159397710525,1
"AT1G01250",0,NA,NA,NA,NA,NA
"AT1G01260",0,NA,NA,NA,NA,NA
"AT1G01270",0,NA,NA,NA,NA,NA
"AT1G01280",0,NA,NA,NA,NA,NA
"AT1G01290",0,NA,NA,NA,NA,NA
"AT1G01300",0.248559967017822,0.213740504551957,3.10777264409349,0.0687761072091886,0.945167836728877,1
"AT1G01305",0,NA,NA,NA,NA,NA
"AT1G01310",0,NA,NA,NA,NA,NA
"AT1G01320",0.642461694866235,-0.67195108842225,1.8861083451881,-0.356263249742017,0.721643428569204,1
"AT1G01335",0,NA,NA,NA,NA,NA
"AT1G01340",0,NA,NA,NA,NA,NA
"AT1G01350",0,NA,NA,NA,NA,NA
"AT1G01355",0,NA,NA,NA,NA,NA
"AT1G01360",0,NA,NA,NA,NA,NA
"AT1G01370",0,NA,NA,NA,NA,NA
"AT1G01380",0,NA,NA,NA,NA,NA
"AT1G01390",0,NA,NA,NA,NA,NA
"AT1G01400",0,NA,NA,NA,NA,NA
"AT1G01410",0,NA,NA,NA,NA,NA
"AT1G01420",0,NA,NA,NA,NA,NA
"AT1G01430",0,NA,NA,NA,NA,NA
"AT1G01440",0.051398334110671,0,3.72499673437046,0,1,NA
"AT1G01448",0,NA,NA,NA,NA,NA
"AT1G01450",0,NA,NA,NA,NA,NA
"AT1G01453",0,NA,NA,NA,NA,NA
"AT1G01460",0,NA,NA,NA,NA,NA
"AT1G01470",0.355402492835576,1.38374164516849,2.52837444216457,0.547285094364368,0.584182882645564,1
"AT1G01480",0,NA,NA,NA,NA,NA
"AT1G01490",0.0422807196896191,0.290720183921971,3.72499673437046,0.0780457553799986,0.937791656434742,NA
"AT1G01500",0,NA,NA,NA,NA,NA
"AT1G01510",0.0422807196896191,0.290720183921971,3.72499673437046,0.0780457553799986,0.937791656434742,NA
"AT1G01520",0,NA,NA,NA,NA,NA
"AT1G01530",0,NA,NA,NA,NA,NA
"AT1G01540",0.175245418217007,0.29072018392197,3.72499673437046,0.0780457553799985,0.937791656434742,1
"AT1G01550",0.165347346976877,0.290720183921972,3.72499673437046,0.0780457553799988,0.937791656434741,1
"AT1G01560",0,NA,NA,NA,NA,NA
"AT1G01570",0,NA,NA,NA,NA,NA
"AT1G01580",0,NA,NA,NA,NA,NA
"AT1G01590",0,NA,NA,NA,NA,NA
"AT1G01600",0,NA,NA,NA,NA,NA
"AT1G01610",0.119206445972609,-1.15196484776741,3.72499673437046,-0.309252579240743,0.757129400296365,NA
"AT1G01620",0.219372777483052,0,3.55597707352034,0,1,1
"AT1G01630",0,NA,NA,NA,NA,NA
"AT1G01640",0,NA,NA,NA,NA,NA
"AT1G01650",0.0549410712739802,-0.671069837204284,3.72499673437046,-0.180153134367163,0.85703234973502,NA
"AT1G04027",0,NA,NA,NA,NA,NA
"AT1G01660",0,NA,NA,NA,NA,NA
"AT1G01670",0,NA,NA,NA,NA,NA
"AT1G01680",0,NA,NA,NA,NA,NA
"AT1G01690",0,NA,NA,NA,NA,NA
"AT1G01695",0,NA,NA,NA,NA,NA
"AT1G08775",0,NA,NA,NA,NA,NA
"AT1G04033",0,NA,NA,NA,NA,NA
"AT1G04037",0,NA,NA,NA,NA,NA
"AT1G01700",0.0638355927429037,-0.671069837204284,3.72499673437046,-0.180153134367163,0.85703234973502,NA
"AT1G01710",0,NA,NA,NA,NA,NA
"AT1G01715",0,NA,NA,NA,NA,NA
"AT1G01720",0.0422807196896191,0.290720183921971,3.72499673437046,0.0780457553799986,0.937791656434742,NA
"AT1G04043",0,NA,NA,NA,NA,NA
"AT1G01725",0,NA,NA,NA,NA,NA
"AT1G04047",0,NA,NA,NA,NA,NA
"AT1G01730",0,NA,NA,NA,NA,NA
"AT1G01740",0,NA,NA,NA,NA,NA
"AT1G01750",0,NA,NA,NA,NA,NA
"AT1G04053",0,NA,NA,NA,NA,NA
"AT1G01760",0,NA,NA,NA,NA,NA
"AT1G04057",0,NA,NA,NA,NA,NA
"AT1G01770",0,NA,NA,NA,NA,NA
"AT1G01780",0,NA,NA,NA,NA,NA
"AT1G01790",0,NA,NA,NA,NA,NA
"AT1G04063",0,NA,NA,NA,NA,NA
"AT1G01800",0,NA,NA,NA,NA,NA
"AT1G01810",0,NA,NA,NA,NA,NA
"AT1G01820",0.0476318822660917,0.290720183921971,3.72499673437046,0.0780457553799986,0.937791656434742,NA
"AT1G01830",0,NA,NA,NA,NA,NA
"AT1G04067",0,NA,NA,NA,NA,NA
"AT1G01840",0,NA,NA,NA,NA,NA
"AT1G01860",0,NA,NA,NA,NA,NA
"AT1G04073",0,NA,NA,NA,NA,NA
"AT1G01870",0,NA,NA,NA,NA,NA
"AT1G01880",0,NA,NA,NA,NA,NA
"AT1G01890",0,NA,NA,NA,NA,NA
"AT1G01900",0,NA,NA,NA,NA,NA
"AT1G04077",0,NA,NA,NA,NA,NA
"AT1G01910",0,NA,NA,NA,NA,NA
"AT1G04083",0,NA,NA,NA,NA,NA
"AT1G01920",0,NA,NA,NA,NA,NA
"AT1G01930",0,NA,NA,NA,NA,NA
"AT1G01940",0,NA,NA,NA,NA,NA
"AT1G01950",0,NA,NA,NA,NA,NA
"AT1G01960",0.066482349263694,0,3.72499673437046,0,1,NA
"AT1G01970",0,NA,NA,NA,NA,NA
"AT1G01980",0,NA,NA,NA,NA,NA
"AT1G01990",0.0500937599980161,0,3.72499673437046,0,1,NA
"AT1G02000",0.0549410712739802,-0.671069837204284,3.72499673437046,-0.180153134367163,0.85703234973502,NA
"AT1G02010",0,NA,NA,NA,NA,NA
"AT1G02020",0,NA,NA,NA,NA,NA
"AT1G02030",0,NA,NA,NA,NA,NA
"AT1G02040",0,NA,NA,NA,NA,NA
"AT1G02050",0,NA,NA,NA,NA,NA
"AT1G02060",0,NA,NA,NA,NA,NA
"AT1G02065",0,NA,NA,NA,NA,NA
"AT1G02067",0,NA,NA,NA,NA,NA
"AT1G02070",0,NA,NA,NA,NA,NA
"AT1G02080",0.0899126019557109,0.771615194485099,3.72499673437046,0.207145200253579,0.835896462856283,NA
"AT1G02090",0.0596032229863047,-0.671069837204284,3.72499673437046,-0.180153134367163,0.85703234973502,NA
"AT1G02100",0.0522223910740879,0.290720183921971,3.72499673437046,0.0780457553799987,0.937791656434742,NA
"AT1G02110",0.0552131210466683,-0.671069837204284,3.72499673437046,-0.180153134367163,0.85703234973502,NA
"AT1G02120",0.119206445972609,-1.15196484776741,3.72499673437046,-0.309252579240743,0.757129400296365,NA
"AT1G02130",0,NA,NA,NA,NA,NA
"AT1G04087",0,NA,NA,NA,NA,NA
"AT1G02136",0,NA,NA,NA,NA,NA
"AT1G02140",0,NA,NA,NA,NA,NA
"AT1G02145",0,NA,NA,NA,NA,NA
"AT1G02150",0,NA,NA,NA,NA,NA
"AT1G02160",0,NA,NA,NA,NA,NA
"AT1G02170",0.0945031107637071,0.771615194485099,3.72499673437046,0.207145200253579,0.835896462856283,NA
"AT1G02180",0,NA,NA,NA,NA,NA
"AT1G02190",0,NA,NA,NA,NA,NA
"AT1G02205",0.121335211709542,-0.671069837204284,3.72499673437046,-0.180153134367163,0.85703234973502,1
"AT1G08785",0,NA,NA,NA,NA,NA
"AT1G04093",0,NA,NA,NA,NA,NA
"AT1G02210",0,NA,NA,NA,NA,NA
"AT1G02220",0,NA,NA,NA,NA,NA
"AT1G02228",0,NA,NA,NA,NA,NA
"AT1G02230",0,NA,NA,NA,NA,NA
"AT1G02250",0,NA,NA,NA,NA,NA
"AT1G02260",0.066482349263694,0,3.72499673437046,0,1,NA
"AT1G02270",0,NA,NA,NA,NA,NA
"AT1G08795",0,NA,NA,NA,NA,NA
"AT1G02280",0,NA,NA,NA,NA,NA
"AT1G02290",0,NA,NA,NA,NA,NA
"AT1G02300",0,NA,NA,NA,NA,NA
"AT1G02305",0,NA,NA,NA,NA,NA
"AT1G04097",0,NA,NA,NA,NA,NA
